jurisdiccion,entidad,programa,actividad,credito_original,aumento,marcar_hijos_con_posible_reasignacion
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,05 - Apoyo Administrativo Logístico,220944878,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,06 - Dirección Superior,112782021,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,08 - Control Externo de la Cuenta de Inversión,136023117,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,09 - Planificación y Asistencia Legal y Técnica,147137179,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,12 - Control de Transferencias de Fondos Nacionales,110637638,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,13 - Control Externo Financiero del Sector Público No Financiero,112638993,?,si
Poder Legislativo Nacional,Auditoría General de la Nación,16 - Control Externo del Sector Público Nacional,"15 - Acciones de Capacitación, Formación y Entrenamiento Técnico-Profesional",662000,?,si
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,01 - Gestión Financiera,6926889908,,
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,02 - Servicio de Apoyo Tecnológico y Estadístico,272132835,,
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,03 - Servicio de Infraestructura Judicial,219301877,,
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,04 - Gestión del Consejo de la Magistratura,339532731,,
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,05 - Jurado de Enjuiciamiento,29173452,,
Poder Judicial de la Nación,Poder Judicial de la Nación,01 - Actividades Centrales,06 - Administración de Recursos Humanos,40171417,,
Poder Judicial de la Nación,Poder Judicial de la Nación,04 - Mandamientos y Notificaciones,01 - Mandamientos y Notificaciones,545354673,,
Poder Judicial de la Nación,Poder Judicial de la Nación,04 - Mandamientos y Notificaciones,00 - Ampliación y Remodelación de Sede Judicial,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,05 - Pericias Judiciales,01 - Pericias Judiciales,602922434,,
Poder Judicial de la Nación,Poder Judicial de la Nación,05 - Pericias Judiciales,"00 - Construcción Instituto Técnico Judicial ""Dra. Cecilia Grierson""",23074292,,
Poder Judicial de la Nación,Poder Judicial de la Nación,05 - Pericias Judiciales,00 - Adecuación de Espacios de Detenidos en Tránsito,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,06 - Biblioteca y Jurisprudencia,01 - Biblioteca y Jurisprudencia,143884079,,
Poder Judicial de la Nación,Poder Judicial de la Nación,07 - Archivo General,01 - Archivo General,199542551,,
Poder Judicial de la Nación,Poder Judicial de la Nación,08 - Administración General de la Corte Suprema de Justicia de la Nación,01 - Administración General de la Corte Suprema de Justicia de la Nación,874854367,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Justicia de Máxima Instancia,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,01 - Justicia de Máxima Instancia,730302824,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Refacciones en el Palacio de Justicia de la Nación,1020000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Adecuación de los Ascensores del Palacio de Justicia de la Nación - Ciudad Autónoma de Buenos Aires,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Refacción Etapa III Patios Interiores del Palacio de Justicia de la Nación - Ciudad Autónoma de Buenos Aires,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Traslado del Servicio Jurídico Gratuito de la Universidad de Buenos Aires,1551250,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Refacciones en el Palacio de Justicia de la Nación Etapa II,2000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Instalación Sistema de Detección de Incendios y Cámaras de Seguridad en el Palacio de Justicia de la Nación,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Adecuación Integral Edificio Villarino 2010,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Ampliación Edificio Lavalle 1250 - Oficina de Violencia Doméstica,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Adecuación y Refuncionalización Parcial de la Alcaldía - Palacio de Justicia,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Instalación de Ventilación de la Alcaidía del Palacio de Justicia de la Nación,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Provisión y Colocación de Carpinterías del Palacio de Justicia,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Reacondicionamiento Estructural de las Escaleras Interiores Nº 7 y Nº 9 - Palacio de Justicia,2447576,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Refacción de los Patios Interiores del Palacio - Patios 3 y 4,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Restauración de Pararrayos Originales - Palacio de Justicia,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Restauración de Pasillos 4º Piso Sector Sala de Acuerdos y Anexos del Palacio de Justicia,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Reparación del Circuito de Calefacción Central del Palacio de Justicia,20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Adecuación Integral para el Edificio Calle Rivadavia 737/767/771,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,00 - Realización de Réplicas y Restauración de Artefactos de Iluminación del Palacio de Justicia,1000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,21 - Justicia de Máxima Instancia,"00 - Construcción de Muros Cortafuego, Refuerzo Estructural y Obras Complementarias Inmueble Villarino 2010, CABA",20000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,22 - Justicia de Casación,00 - Justicia de Casación,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,22 - Justicia de Casación,01 - Fuero Penal,355694986,,
Poder Judicial de la Nación,Poder Judicial de la Nación,22 - Justicia de Casación,01 - Fuero Criminal y Correcional,88939186,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Fuero Criminal y Correccional,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Fuero Criminal y Correccional,859719756,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Fuero Civil,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Fuero Civil,1107649376,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Remodelación y Adecuación de Sede Judicial,24289790,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Fuero Comercial,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Fuero Comercial,495758680,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Fuero del Trabajo,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Fuero del Trabajo,853061501,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,00 - Justicia Penal Oral Ordinaria,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Justicia Penal Oral Ordinaria,569010305,,
Poder Judicial de la Nación,Poder Judicial de la Nación,23 - Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires,01 - Fuero de las Relaciones de Consumo,1000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Criminal y Correccional Federal,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Criminal y Correccional Federal,556172957,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Civil y Comercial Federal,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Civil y Comercial Federal,346703465,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Contencioso Administrativo Federal,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Contencioso Administrativo Federal,420934756,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Federal de la Seguridad Social,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Federal de la Seguridad Social,449509258,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Electoral,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Electoral,717948405,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Justicia Penal Oral Federal de la Capital Federal,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Justicia Penal Oral Federal de la Capital Federal,199302555,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara de la Plata,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara de la Plata,365643257,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Adecuación y Ampliación Sede Judicial,12057552,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Mar del Plata,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Mar del Plata,304329642,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Bahía Blanca,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Bahía Blanca,190836435,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Mendoza,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Mendoza,390374998,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Remodelación y Adecuación de Sedes Judiciales,10000000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Rosario,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Rosario,413148586,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara General Roca,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara General Roca,283230141,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Paraná,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Paraná,196688148,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Remodelación de Edificio para Redistribución de los Tribunales Federales de Paraná,27049664,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Posadas,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Posadas,246394399,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Resistencia,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Resistencia,261992614,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara de Córdoba,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara de Córdoba,423558827,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara San Martín,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara San Martín,640693111,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Tucumán,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Tucumán,349191778,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,"00 - Cámara Federal de Tucumán, Juzgados Nº 1 y Nº 2 de Tucumán, edificio Las Piedras 418 - Prov. de Tucumán Renovación de fachadas.",7653168,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Salta,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Salta,268122045,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara Comodoro Rivadavia,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara Comodoro Rivadavia,359316231,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Área Cámara de Corrientes,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Área Cámara de Corrientes,199674742,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,"00 - Adecuación de Planta Baja, 1º y 2º del Juzgado Federal Nº2 de Corrientes, Provincia de Corrientes",5943826,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,00 - Fuero Penal Económico,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,24 - Justicia Federal,01 - Fuero Penal Económico,368924640,,
Poder Judicial de la Nación,Poder Judicial de la Nación,25 - Asistencia Social,01 - Asistencia Social,167299954,,
Poder Judicial de la Nación,Poder Judicial de la Nación,26 - Atención de Pasividades,00 - Atención de Pasividades,,,
Poder Judicial de la Nación,Poder Judicial de la Nación,26 - Atención de Pasividades,01 - Atención de Pasividades,96620000,,
Poder Judicial de la Nación,Poder Judicial de la Nación,27 - Interceptación y Captación de las Comunicaciones,01 - Interceptación y Captación de las Comunicaciones,209866000,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,01 - Procuración General,4603721698,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,02 - Investigación Causa Asociación Mutual Israelita Argentina - AMIA,59915760,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,03 - Acciones de la Escuela de Servicio de Justicia,5623645,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,04 - Apoyo Tecnológico a la Investigación Penal,109236587,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,00 - Puesta en Valor de Inmuebles,16577248,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,00 - Remodelación Laboratorio de la Dirección General de Investigaciones y Apoyo Tecnológico a la Investigacion Penal (DATIP),2275000,,
Ministerio Público,Ministerio Público,16 - Ejercicio de la Acción Pública y Defensa de la Legalidad,00 - Instalación de Sistema de Incendios,5000000,,
Ministerio Público,Ministerio Público,"17 - Representación, Defensa y Curatela Pública Oficial","00 - Representación, Defensa y Curatela Pública Oficial",,,
Ministerio Público,Ministerio Público,"17 - Representación, Defensa y Curatela Pública Oficial","01 - Representación, Defensa y Curatela Pública Oficial",2658917856,,
Ministerio Público,Ministerio Público,"17 - Representación, Defensa y Curatela Pública Oficial",02 - Acciones de la Escuela de Servicios de Justicia,2355452,,
Ministerio Público,Ministerio Público,"17 - Representación, Defensa y Curatela Pública Oficial",01 - Ejercicio de la Curatela Pública Oficial,209013098,,
Ministerio Público,Ministerio Público,"17 - Representación, Defensa y Curatela Pública Oficial",01 - Ejercicio del Derecho a la Protección de la Salud Mental,51743399,,
Presidencia de la Nación,Sindicatura General de la Nación,16 - Control Interno del Poder Ejecutivo Nacional,00 - Control Interno del Poder Ejecutivo Nacional,,,
Presidencia de la Nación,Sindicatura General de la Nación,16 - Control Interno del Poder Ejecutivo Nacional,01 - Administración y Servicios de Apoyo,287091742,,
Presidencia de la Nación,Sindicatura General de la Nación,16 - Control Interno del Poder Ejecutivo Nacional,02 - Control Interno,375947887,,
Presidencia de la Nación,Sindicatura General de la Nación,16 - Control Interno del Poder Ejecutivo Nacional,03 - Asistencia Técnica,14102115,,
Presidencia de la Nación,Sindicatura General de la Nación,16 - Control Interno del Poder Ejecutivo Nacional,05 - Acciones del Instituto Superior de Control de la Gestión Pública,4068508,,
Presidencia de la Nación,Autoridad Regulatoria Nuclear,16 - Regulación y Fiscalización de las Actividades Nucleares,00 - Regulación y Fiscalización de las Actividades Nucleares,,,
Presidencia de la Nación,Autoridad Regulatoria Nuclear,16 - Regulación y Fiscalización de las Actividades Nucleares,01 - Regulación y Fiscalización de las Actividades Nucleares,389356088,,
Presidencia de la Nación,Autoridad Regulatoria Nuclear,16 - Regulación y Fiscalización de las Actividades Nucleares,02 - Convenio para la Aplicación de Salvaguardias Nucleares,1516000,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,01 - Atención de Actividades del Señor Vicepresidente de la Nación,6036727,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,02 - Coordinación Técnica Administrativa,1367669332,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,"04 - Seguridad, Logística y Comunicaciones",57377655,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,07 - Atención de Actividades del Señor Presidente de la Nación,748623431,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,08 - Obispado Castrense,3401224,,
Presidencia de la Nación,Secretaría General,16 - Conducción del Poder Ejecutivo Nacional,00 - Remodelación Casa de Gobierno - Etapa VII,22400000,,
Presidencia de la Nación,Secretaría Legal y Técnica,20 - Asistencia Legal y Técnica,01 - Asistencia Legal y Técnica,297405656,,
Presidencia de la Nación,Secretaría Legal y Técnica,20 - Asistencia Legal y Técnica,02 - Registro de los Actos de Gobierno,70729691,,
Presidencia de la Nación,Secretaría Legal y Técnica,20 - Asistencia Legal y Técnica,03 - Registro de Dominios de Internet,38725430,,
Presidencia de la Nación,Agencia Federal de Inteligencia,16 - Información e Inteligencia,01 - Información e Inteligencia,1804468000,,
Presidencia de la Nación,Secretaría de Programación para la Prevención de la Drogadicción y la Lucha contra el Narcotráfico,01 - Actividades Centrales,01 - Coordinación y Supervisión,150619996,,
Presidencia de la Nación,Secretaría de Programación para la Prevención de la Drogadicción y la Lucha contra el Narcotráfico,"16 - Prevención, Asistencia, Control y Lucha Contra la Drogadicción",02 - Prevención de Adicciones,80300000,,
Presidencia de la Nación,Secretaría de Programación para la Prevención de la Drogadicción y la Lucha contra el Narcotráfico,"16 - Prevención, Asistencia, Control y Lucha Contra la Drogadicción",05 - Asistencia a Drogadependientes,290042277,,
Presidencia de la Nación,Secretaría de Programación para la Prevención de la Drogadicción y la Lucha contra el Narcotráfico,"17 - Diseño, Monitoreo y Abordaje Territorial",01 - Acciones Para la Prevención de las Adicciones,218039415,170000000,si
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,01 - Actividades Centrales,01 - Dirección y Conducción,33692799,,
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,17 - Formulación e Implementación de Políticas Públicas de la Mujer,01 - Formulación e Implementación de Políticas Públicas de la Mujer,96500250,67000000,si
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,21 - Asistencia y Coordinación de Políticas Sociales,00 - Asistencia y Coordinación de Políticas Sociales,,,
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,21 - Asistencia y Coordinación de Políticas Sociales,01 - Asistencia y Coordinación de Políticas Sociales,50975945,,
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,21 - Asistencia y Coordinación de Políticas Sociales,02 - Sistemas de Prestaciones Básicas,286643768,,
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,21 - Asistencia y Coordinación de Políticas Sociales,03 - Interacción con Organizaciones Comunitarias,11283436,,
Presidencia de la Nación,Consejo Nacional de Coordinación de Políticas Sociales,21 - Asistencia y Coordinación de Políticas Sociales,05 - Sistema de Identificación Nacional Tributaria y Social (BIRF 7572-SINTYS),62257977,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,01 - Actividades Centrales,01 - Conducción y Control de la Administración General del País,12834514,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,01 - Actividades Centrales,03 - Administración,1189159227,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,01 - Actividades Centrales,"04 - Gestión Legislativa, Institucional y Enlace Parlamentario",18208600,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,01 - Actividades Centrales,05 - Gestión Presupuestaria y Evaluación de la Calidad del Gasto,1679781,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,"08 - Actividad Común a los Programas 70, 71 y 72",01 - Conducción Superior,70376950,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,"08 - Actividad Común a los Programas 70, 71 y 72",02 - Apoyo Administrativo y Seguimiento Técnico,88305350,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,"08 - Actividad Común a los Programas 70, 71 y 72",03 - Conducción de Contenidos Públicos,109874250,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,"08 - Actividad Común a los Programas 70, 71 y 72",04 - Conducción de Medios Públicos,39329240,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,19 - Prensa y Difusión de Actos de Gobierno,01 - Prensa y Difusión de Actos de Gobierno,2135519261,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,47 - Conservacion y Promoción del Área Marina Protegida Namuncurá-Banco Burdwood-Programa Namuncurá,01 - Conservacion y Promoción del Área Marina Protegida Namuncurá-Banco Burdwood-Programa Namuncurá,74865983,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,48 - Acciones de la Unidad Plan Belgrano,01 - Acciones de la Unidad Plan Belgrano,86024322,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,50 - Coordinación de Proyectos Sociocomunitarios,01 - Coordinación de Planes Políticos y Proyectos,0,,
Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,50 - Coordinación de Proyectos Sociocomunitarios,02 - Acciones Referidas al Programa El Estado en tu Barrio,200000000,,
